date,close,dividend,high,low,open,split,volume
2008-09-02,4300.05,,4315.75,4148.1,4148.1,,282262016.0
2008-09-04,4249.9,,4277.05,4219.1,4260.5,,231459008.0
2008-09-05,4153.55,,4185.25,4135.7,4174.3,,205992992.0
2008-09-08,4271.2,,4329.8,4263.1,4284.5,,213515008.0
2008-09-09,4254.4,,4281.0,4211.55,4242.6,,219538000.0
2008-09-10,4192.25,,4254.25,4174.75,4240.2,,279603008.0
2008-09-11,4095.0,,4167.65,4080.35,4167.65,,248872000.0
2008-09-12,4030.7,,4125.9,4006.85,4120.0,,274799008.0
2008-09-15,3875.9,,3939.25,3766.35,3939.25,,284404000.0
2008-09-16,3877.25,,3888.2,3730.8,3773.15,,294420000.0
2008-09-17,3806.65,,3912.05,3781.35,3903.55,,277247008.0
2008-09-18,3829.95,,3838.85,3608.75,3680.2,,374980992.0
2008-09-19,4023.1,,4037.3,3920.8,3933.1,,361679008.0
2008-09-22,4001.2,,4067.5,3983.75,4058.7,,258387008.0
2008-09-23,3908.4,,4000.05,3901.05,3933.1,,246615008.0
2008-09-24,3940.3,,3983.25,3907.45,3907.45,,252876000.0
2008-09-25,3894.15,,3946.9,3864.1,3939.4,,364632992.0
2008-09-26,3774.55,,3883.8,3761.15,3883.8,,239358000.0
2008-09-29,3640.7,,3780.2,3575.05,3780.2,,332401984.0
2008-09-30,3712.15,,3752.45,3514.4,3563.6,,384528992.0
2008-10-01,3741.6,,3789.7,3658.15,3751.55,,278110016.0
2008-10-03,3615.0,,3746.6,3603.05,3746.6,,279079008.0
2008-10-06,3407.1,,3565.8,3389.3,3565.8,,279120000.0
2008-10-07,3403.85,,3525.35,3343.9,3460.95,,340934016.0
2008-10-08,3305.15,,3348.75,3134.5,3348.75,,353345984.0
2008-10-10,3076.3,,3247.1,3010.05,3247.1,,424007008.0
2008-10-13,3273.85,,3290.0,3133.7,3133.7,,322812992.0
2008-10-14,3305.45,,3422.0,3287.9,3289.9,,327817984.0
2008-10-15,3135.5,,3250.75,3124.25,3250.75,,273563008.0
2008-10-16,3077.75,,3131.15,2916.6,3004.0,,378563008.0
2008-10-17,2904.7,,3141.4,2884.7,3121.5,,321096992.0
2008-10-20,2947.6,,3049.45,2891.65,2939.4,,311731008.0
2008-10-21,3054.85,,3072.5,2948.25,2998.2,,355582016.0
2008-10-22,2901.35,,3016.95,2889.75,3016.95,,288206016.0
2008-10-23,2787.6,,2915.7,2766.55,2898.05,,343003008.0
2008-10-24,2456.5,,2729.15,2406.45,2729.15,,483535008.0
2008-10-27,2388.6,,2455.4,2145.05,2427.35,,462096000.0
2008-10-28,2540.2,,2549.7,2498.7,2498.7,,0.0
2008-10-29,2545.8,,2616.9,2491.0,2613.25,,515324992.0
2008-10-31,2718.55,,2746.0,2586.75,2586.75,,452007008.0
2008-11-03,2866.15,,2881.85,2793.1,2820.4,,386206016.0
2008-11-04,2967.35,,2976.3,2811.5,2858.1,,481236992.0
2008-11-05,2836.9,,3057.65,2816.1,3007.25,,491878016.0
2008-11-06,2743.25,,2847.2,2709.9,2759.35,,432464000.0
2008-11-07,2816.45,,2846.65,2726.6,2727.2,,392160992.0
2008-11-10,2978.25,,2987.9,2858.8,2865.2,,385164000.0
2008-11-11,2786.9,,2948.95,2770.65,2948.55,,344940992.0
2008-11-12,2703.25,,2817.4,2656.4,2755.05,,418204992.0
2008-11-14,2664.75,,2788.35,2639.4,2765.7,,416500000.0
2008-11-17,2643.25,,2685.75,2552.05,2673.75,,356408000.0
2008-11-18,2537.15,,2615.85,2522.3,2598.4,,323792992.0
2008-11-19,2487.05,,2614.25,2472.55,2547.9,,339638016.0
2008-11-20,2407.55,,2433.6,2361.65,2408.9,,311167008.0
2008-11-21,2523.8,,2544.8,2390.9,2401.0,,405814016.0
2008-11-24,2533.5,,2565.5,2469.1,2517.55,,332700000.0
2008-11-25,2486.55,,2606.45,2472.1,2595.15,,308246016.0
