date,open,low,high,close,volume
2014-03-05,824.0,812.6,828.6,827.15,1275795.0
2014-03-06,830.0,824.05,841.9,837.85,1724126.0
2014-03-07,837.85,837.25,853.9,848.25,3494157.0
2014-03-08,837.85,837.25,853.9,848.25,3494157.0
2014-03-09,837.85,837.25,853.9,848.25,3494157.0
2014-03-10,841.0,831.1,858.0,850.2,3766475.0
2014-03-11,850.2,843.65,856.1,853.1,3292684.0
2014-03-12,846.25,845.15,858.0,854.65,3043527.0
2014-03-13,858.1,850.0,868.8,865.4,3525842.0
2014-03-14,855.1,852.25,862.8,856.65,3850399.0
2014-03-15,855.1,852.25,862.8,856.65,3850399.0
2014-03-16,855.1,852.25,862.8,856.65,3850399.0
2014-03-17,855.1,852.25,862.8,856.65,3850399.0
2014-03-18,859.8,841.0,859.8,852.2,3207184.0
2014-03-19,856.0,854.95,869.1,867.7,2125150.0
2014-03-20,868.0,845.6,868.0,847.85,1959880.0
2014-03-21,852.25,839.0,857.45,843.25,4354231.0
2014-03-22,845.5,840.7,847.0,841.9,82662.0
2014-03-23,845.5,840.7,847.0,841.9,82662.0
2014-03-24,845.1,841.0,863.7,860.25,3077297.0
2014-03-25,856.2,856.2,874.5,871.7,2470681.0
2014-03-26,873.0,861.1,874.7,866.4,2320464.0
2014-03-27,870.5,860.9,880.0,875.1,4636590.0
2014-03-28,880.0,856.05,880.0,875.8,2485454.0
2014-03-29,880.0,856.05,880.0,875.8,2485454.0
2014-03-30,880.0,856.05,880.0,875.8,2485454.0
2014-03-31,880.9,873.2,887.0,883.9,2082316.0
2014-04-01,885.0,870.4,894.8,888.8,2802631.0
2014-04-02,889.8,888.4,905.35,899.0,3619290.0
2014-04-03,899.1,892.15,908.1,904.15,2801434.0
2014-04-04,902.0,892.7,903.0,895.1,3581987.0
2014-04-05,902.0,892.7,903.0,895.1,3581987.0
2014-04-06,902.0,892.7,903.0,895.1,3581987.0
2014-04-07,895.1,880.8,900.9,895.85,4525721.0
2014-04-08,895.1,880.8,900.9,895.85,4525721.0
2014-04-09,902.25,896.0,929.7,922.7,4159510.0
2014-04-10,925.0,916.2,934.4,927.25,2445503.0
2014-04-11,920.0,899.55,925.8,918.65,3477880.0
2014-04-12,920.0,899.55,925.8,918.65,3477880.0
2014-04-13,920.0,899.55,925.8,918.65,3477880.0
2014-04-14,920.0,899.55,925.8,918.65,3477880.0
2014-04-15,915.5,881.2,918.65,887.5,3284203.0
2014-04-16,883.35,866.05,886.15,870.2,4295418.0
2014-04-17,873.0,865.0,881.95,879.8,2862754.0
2014-04-18,873.0,865.0,881.95,879.8,2862754.0
2014-04-19,873.0,865.0,881.95,879.8,2862754.0
2014-04-20,873.0,865.0,881.95,879.8,2862754.0
2014-04-21,877.05,870.0,882.15,876.95,1625072.0
2014-04-22,877.1,870.3,886.9,874.85,1475886.0
2014-04-23,872.0,862.1,882.5,879.55,4983550.0
2014-04-24,872.0,862.1,882.5,879.55,4983550.0
2014-04-25,885.0,883.5,897.0,894.1,5096356.0
2014-04-26,885.0,883.5,897.0,894.1,5096356.0
2014-04-27,885.0,883.5,897.0,894.1,5096356.0
2014-04-28,887.3,880.0,892.95,884.35,2581562.0
2014-04-29,881.15,877.0,893.4,887.4,1794252.0
2014-04-30,889.95,888.45,903.5,897.95,2754178.0
2014-05-01,889.95,888.45,903.5,897.95,2754178.0
2014-05-02,897.9,897.0,914.75,910.95,3080739.0
2014-05-03,897.9,897.0,914.75,910.95,3080739.0
2014-05-04,897.9,897.0,914.75,910.95,3080739.0
2014-05-05,910.0,883.15,912.15,886.45,2261063.0
2014-05-06,892.0,873.9,895.2,877.55,2190690.0
2014-05-07,881.0,850.1,882.9,852.6,3008306.0
2014-05-08,858.95,840.55,859.0,850.45,3293099.0
2014-05-09,854.0,851.3,888.0,884.6,1817788.0
2014-05-10,854.0,851.3,888.0,884.6,1817788.0
2014-05-11,854.0,851.3,888.0,884.6,1817788.0
2014-05-12,882.35,882.35,912.9,895.55,3127891.0
2014-05-13,906.0,899.2,915.0,906.35,3641613.0
2014-05-14,910.0,883.55,915.0,888.85,3586483.0
2014-05-15,886.0,875.35,908.25,903.15,3532044.0
2014-05-16,920.0,877.0,956.45,885.8,10749759.0
2014-05-17,920.0,877.0,956.45,885.8,10749759.0
2014-05-18,920.0,877.0,956.45,885.8,10749759.0
2014-05-19,900.25,900.25,931.5,916.95,6677460.0
2014-05-20,921.5,914.65,944.4,940.6,5681528.0
2014-05-21,940.0,933.0,946.0,940.75,3680783.0
2014-05-22,941.0,918.0,944.6,920.15,3194236.0
2014-05-23,926.0,918.45,938.75,931.95,3675254.0
2014-05-24,926.0,918.45,938.75,931.95,3675254.0
2014-05-25,926.0,918.45,938.75,931.95,3675254.0
2014-05-26,929.3,914.05,944.4,927.75,5260500.0
2014-05-27,934.0,908.0,934.0,910.25,4937760.0
2014-05-28,912.0,892.0,918.0,902.05,4571686.0
2014-05-29,900.1,891.0,914.9,896.9,4963006.0
2014-05-30,899.0,810.0,899.0,876.8,7232450.0
2014-05-31,899.0,810.0,899.0,876.8,7232450.0
2014-06-01,899.0,810.0,899.0,876.8,7232450.0
2014-06-02,875.0,871.0,905.5,896.35,1865891.0
2014-06-03,898.0,895.0,918.3,912.75,3408485.0
2014-06-04,918.0,899.2,924.5,901.55,3371889.0
2014-06-05,900.0,891.0,918.6,908.75,5395580.0
2014-06-06,912.9,907.0,938.7,935.15,4653867.0
2014-06-07,912.9,907.0,938.7,935.15,4653867.0
2014-06-08,912.9,907.0,938.7,935.15,4653867.0
2014-06-09,940.0,934.35,947.7,944.95,3580516.0
2014-06-10,940.35,930.4,962.0,954.45,4912736.0
2014-06-11,951.35,931.9,959.95,956.9,5079938.0
2014-06-12,952.0,951.2,985.0,982.05,4444543.0
2014-06-13,980.0,972.35,984.7,979.7,3800033.0
2014-06-14,980.0,972.35,984.7,979.7,3800033.0
2014-06-15,980.0,972.35,984.7,979.7,3800033.0
2014-06-16,975.0,956.0,983.55,961.65,4451944.0
2014-06-17,957.25,941.25,971.95,965.6,3822167.0
2014-06-18,965.0,952.1,972.0,958.45,3381229.0
2014-06-19,959.55,955.5,971.0,968.45,2781318.0
2014-06-20,969.85,964.5,977.4,969.05,2451177.0
2014-06-21,969.85,964.5,977.4,969.05,2451177.0
2014-06-22,969.85,964.5,977.4,969.05,2451177.0
2014-06-23,974.4,960.55,978.2,971.0,2587975.0
2014-06-24,972.7,972.0,1000.0,996.1,3436833.0
2014-06-25,998.9,989.25,1003.4,995.45,3759548.0
2014-06-26,1000.0,970.45,1002.45,976.85,4804273.0
2014-06-27,980.0,971.25,998.9,976.1,3307009.0
2014-06-28,980.0,971.25,998.9,976.1,3307009.0
2014-06-29,980.0,971.25,998.9,976.1,3307009.0
2014-06-30,983.7,975.2,999.0,992.55,3290425.0
2014-07-01,990.25,980.0,998.5,984.1,1511271.0
2014-07-02,991.05,989.0,1011.35,1007.8,1927692.0
2014-07-03,1007.8,1002.0,1017.15,1008.15,1757141.0
2014-07-04,999.7,994.1,1016.65,1013.1,1370680.0
2014-07-05,999.7,994.1,1016.65,1013.1,1370680.0
2014-07-06,999.7,994.1,1016.65,1013.1,1370680.0
2014-07-07,1013.0,1003.3,1024.4,1020.6,2756178.0
2014-07-08,1017.2,1016.6,1046.5,1022.2,3414343.0
2014-07-09,1020.0,1006.0,1030.6,1015.4,2427544.0
2014-07-10,1013.0,1002.7,1044.7,1022.85,2460496.0
2014-07-11,1015.0,981.0,1018.0,989.65,2177647.0
2014-07-12,1015.0,981.0,1018.0,989.65,2177647.0
2014-07-13,1015.0,981.0,1018.0,989.65,2177647.0
2014-07-14,988.2,980.1,1011.95,983.8,2076833.0
2014-07-15,987.1,968.9,992.2,977.55,1496337.0
2014-07-16,983.0,946.05,984.8,976.0,5803707.0
2014-07-17,974.0,968.65,985.2,972.35,1224610.0
2014-07-18,972.8,967.7,987.95,983.0,1728285.0
2014-07-19,972.8,967.7,987.95,983.0,1728285.0
2014-07-20,972.8,967.7,987.95,983.0,1728285.0
2014-07-21,986.0,986.0,1015.7,1010.3,2967232.0
2014-07-22,1018.5,1007.65,1044.7,1041.05,2794266.0
