Scrip Code,COMPANY,ISIN No.,Close Price
532798,Network 18 Media & Investments Ltd,INE870H01013,24.2
533098,NHPC Ltd,INE848E01016,19.95
532541,NIIT Technologies Ltd,INE591G01017,1472.9
523385,Nilkamal Ltd,INE310A01015,1006.25
540767,Nippon Life India Asset Management Ltd,INE298J01013,243.75
513683,NLC India Ltd,INE589A01014,41.15
526371,NMDC Ltd,INE584A01023,79
500730,NOCIL Ltd.,INE163A01018,87.5
532555,NTPC Ltd,INE733E01010,95.75
533273,Oberoi Realty Ltd,INE093I01010,306.6
500312,Oil & Natural Gas Corp Ltd,INE213A01029,78.85
533106,Oil India Ltd,INE274J01014,83.6
532880,Omaxe Ltd,INE800H01010,176.8
532466,Oracle Financial Services Software Ltd,INE881D01027,2494.1
535754,Orient Cement Ltd,INE876N01018,44.75
541301,Orient Electric Ltd,INE142Z01019,165.55
534076,Orient Refractories Ltd,INE743M01012,145.15
532827,Page Industries Ltd,INE761H01022,18408.05
539889,Parag Milk Foods Ltd,INE883N01014,87.05
534809,PC Jeweller Ltd.,INE785M01013,10.76
533179,Persistent Systems Ltd,INE262H01013,535.45
532522,Petronet LNG Ltd,INE347G01014,238.25
500680,Pfizer Ltd (India),INE182A01018,4183.3
506590,Phillips Carbon Black Ltd,INE602A01023,74.05
503100,Phoenix Mills Ltd,INE211B01039,492.6
523642,PI Industries Ltd,INE603J01030,1591.1
500331,Pidilite Industries Ltd,INE318A01026,1425.15
500302,Piramal Enterprises Ltd,INE140A01024,958.5
540173,PNB Housing Finance Ltd,INE572E01012,175.35
539150,PNC Infratech Ltd,INE195J01029,101.25
542652,Polycab India Ltd,INE455K01017,649.9
532810,Power Finance Corp Ltd,INE134E01011,77.2
532898,Power Grid Corp of India Ltd,INE752E01010,157.35
533274,Prestige Estates Projects Ltd,INE811K01011,145.1
500338,Prism Johnson Ltd,INE010A01011,33.25
500126,Procter & Gamble Health Limited,INE199A01012,4079.65
500459,Procter & Gamble Hygiene & Health Care Ltd,INE179A01014,9809.7
532524,PTC India Ltd,INE877F01012,33.25
532461,Punjab National Bank,INE160A01022,26.75
532689,PVR Ltd,INE191H01014,884.25
539978,Quess Corp Ltd,INE615P01015,211
532497,Radico Khaitan Ltd,INE944F01028,321.4
542649,Rail Vikas Nigam Ltd,INE415G01027,16.95
500339,Rain Industries Limited,INE855B01025,69.55
531500,Rajesh Exports Ltd,INE343B01030,505.95
500355,Rallis India Ltd,INE613A01020,216.9
500260,Ramco Cements Ltd,INE331A01037,617.05
524230,Rashtriya Chemicals & Fertilizers Ltd.,INE027A01015,38.6
520111,Ratnamani Metals & Tubes Ltd,INE703B01027,866.65
500330,Raymond Ltd.,INE301A01014,224
540065,RBL Bank Ltd,INE976G01028,116.55
532955,REC Ltd,INE020B01018,87.95
532805,Redington India Ltd,INE891D01026,82.75
530517,Relaxo Footwears Ltd,INE131B01039,639.2
500111,Reliance Capital Ltd,INE013A01015,6.62
500325,Reliance Industries Ltd,INE002A01018,1472.65
500390,Reliance Infrastructure Ltd,INE036A01016,16.6
532939,Reliance Power Ltd,INE614G01033,1.91
535322,Repco Home Finance Ltd.,INE612J01015,96.55
505509,Responsive Industries Ltd.,INE688D01026,84.4
541556,RITES Ltd,INE320J01015,226.25
539450,S H Kelkar and Company Ltd,INE500L01026,51.2
532710,Sadbhav Engineering Ltd,INE226H01026,41.65
500674,Sanofi India Ltd,INE058A01010,7675.85
